# frequency power
1.447173231397593327e+03 1.067519098068841349e-02
1.450469753564786060e+03 1.674140071289492368e-02
1.453766275731978794e+03 2.931231537809738871e-02
1.457062797899171528e+03 4.710268784394720798e-02
1.460359320066364035e+03 6.033966740625584801e-02
1.463655842233556768e+03 5.776355866585992926e-02
1.466952364400749502e+03 3.913393947117858873e-02
1.470248886567942236e+03 1.703031601530959407e-02
1.473545408735134970e+03 9.005583850310330124e-03
1.476841930902327704e+03 2.137387585013124022e-02
1.480138453069520210e+03 3.898049208688698225e-02
1.483434975236712944e+03 4.089255904206488823e-02
1.486731497403905678e+03 2.262355680439121983e-02
1.490028019571098412e+03 2.899110197223262343e-03
1.493324541738291146e+03 6.085540236857049125e-03
1.496621063905483879e+03 3.251418819734470250e-02
1.499917586072676386e+03 5.858147095567233648e-02
1.503214108239869120e+03 6.022052926148926261e-02
1.506510630407061853e+03 3.431830210119779512e-02
1.509807152574254587e+03 6.644614387434559337e-03
1.513103674741447321e+03 1.268995952410256972e-03
1.516400196908640055e+03 1.480184628863694292e-02
